video_id,video_duration_seconds
p2eKljFb_5w,2381.0
PCqONIMSC9U,900.0
dfnSUscejCo,489.0
iLV1-I4wQ7I,452.0
OGZdgd14ve0,95.0
u3NYVr94yv0,1134.0
-RB9b3nGq6E,262.0
bxZyWEd0FqQ,251.0
bl7_7xf8yfk,671.0
eJUCTU1JAXc,569.0
H3SkTKIf7Sc,385.0
yWXIOeC6_TU,902.0
jK1Tq6Ls3tU,642.0
rcCLyL9bgfY,368.0
PHY-U6ehuJo,141.0
-2zWOPIEg2E,394.0
lPHaURYb_Eo,491.0
WFPfprHX2Nk,648.0
lZmoJUiyJnA,208.0
re_Q5kV832s,32.0
VaKCY6_kF8I,36.0
MT0yPWcHuUI,1151.0
y3RhoAQXJ8I,178.0
gp9AiZ-Sd3U,222.0
Alq-OS2wC7o,2638.0
v6iGeBATJ98,1202.0
rKaiLkL9ObE,1365.0
KSpaGa1KT_c,618.0
cQkCdAtnfTw,878.0
jHIhAHc3_v0,782.0
zg2bw9W2gtE,241.0
DK9sVSlDbKE,385.0
vbtPhGeShQQ,2152.0
17_xfg6BsB0,290.0
a-0BzQL66CI,1674.0
EwIavb1-CJ0,131.0
tG8sddrOqbg,83.0
M81AX2GaK6c,433.0
XgmlRhWnlsA,661.0
54g7iDUnokM,233.0
4v-N6Yon3NM,368.0
u6gGCEOqGvk,561.0
3gC5mES0MG4,897.0
aWFfVimhD0w,36.0
GN4gFhfsh00,110.0
c9tIb-Y75pI,219.0
zKaU5HyfQus,2918.0
tWD_os4nl4k,337.0
tHPweGO4aus,1232.0
mCA7YKpfNfA,799.0
i6EhTC9iCew,36.0
BwLgKpWXLQo,62.0
jVhKVJOxGnc,639.0
GwIAqk-lUJI,1284.0
FLHwfkZElq4,2364.0
TIUZJn-pzdA,36.0
5QSAuozZl80,97.0
EZG2aw_7pkY,1280.0
kcURvn-23Qg,355.0
1h20tbooavo,212.0
vcVJF6kka7g,488.0
PgnjI3OXaf8,681.0
TkQG-mH4Wgw,2345.0
2fOYkGqK9Us,1335.0
Xv6EdcDW7IM,493.0
BU8nz3r7AUg,409.0
zMX_xtti3jI,749.0
eRp9n_BjNJw,101.0
CLokpkhsvEU,546.0
P4DVQRD3qis,1135.0
lgfbBmlKk6Y,275.0
M9CJkraiISs,347.0
_TMJXgYsrhk,2395.0
YxS1ezMq0qc,1063.0
ixGAiCe7Q7M,736.0
26ngez-5Hy0,899.0
VQx7MvG9J6s,635.0
vbSGPIS2_ao,184.0
-HiIVL0EOS4,2325.0
-Bl07c1ftdU,107.0
MOckS35r8yE,186.0
xLTwJyX4ltU,456.0
wh8xdn_VZMU,86.0
OztsRB-gf2s,2666.0
G21WGawzocw,1205.0
k6ryNj17sLI,1535.0
bCXnXFLflYE,150.0
BYctfFyiuCE,145.0
QsWfbWM7PAg,1090.0
oFpb6emtPsk,588.0
DDpCDNaNd54,571.0
1KAFFzi2OQ0,892.0
lEGbQev-HAU,142.0
mS77sX5c8zc,639.0
EoJMJXKL-og,38.0
QCNw6ifmhKM,1288.0
tMtPafRkfSk,1081.0
eLns8ibFW6s,527.0
zQL18hGNDRQ,31.0
2h4qsdh1Cjk,28.0
Q6z3yopWoQ0,341.0
seIm93eCdQY,31.0
5svc4ApuhMw,178.0
ZGVQWt_q7XM,924.0
ujUVvECZfUk,627.0
Bf9GbEDOv7A,1243.0
5zRY5X2SsVg,2437.0
3oUqSfRBOHE,718.0
gyJFt02VcOs,2397.0
799WsLBicuc,2068.0
q_97A03dzKc,1725.0
g5uDKYFnFn8,193.0
-0lVwt0FLpU,1156.0
rcQ_xZdzPBc,162.0
KxTHOXrwLxE,351.0
cXCBiF67jLM,179.0
EoZK64WehQ0,1046.0
65wFL9gLug0,2173.0
3dh8a0p52v8,3492.0
EzaoKofCyqM,1113.0
AzgM5pGsdxE,1566.0
G_YOcaLjRgM,919.0
ySZhfpMEmC0,824.0
5fKonfXyNd4,1405.0
oIESZC73ZTc,790.0
NTcYfuBHpT8,121.0
Gc_pxB9TSRU,399.0
tj1F6otphT0,1293.0
1mt3CQS5Ugg,1634.0
JNrWohXNNpw,125.0
Mf66Gjl9foo,859.0
FYUG97WHmUo,686.0
9lu-_VUys8s,262.0
S5YXBteufHM,36.0
mh7tFgNcy6w,130.0
FBBv34ADmW0,529.0
iNFGI24kJmE,1276.0
REK6A9BoqpQ,35.0
HA11v9Kht14,1212.0
I6GmZA-ZJ4Y,287.0
itxiVP9HlTE,31.0
3yQAD8aWShM,1203.0
RVxNW8eA1NQ,612.0
vvTThE1ZCzk,835.0
45n4vHs1hww,3871.0
T4zmEFd9Noo,3498.0
4by0rWN_POQ,2844.0
fFTLwI2mf7M,2517.0
XnJ9JcV9TEU,1253.0
M5BNVUz4hkc,1014.0
hVbi4nrh9yI,340.0
uokNcJDUiKY,1168.0
LEg01HokHAY,1339.0
ki_ssYOUYAA,20.0
rkZAQ6dHGtc,36.0
I2b9xtoBbPY,680.0
Ffk_uxFkNAg,906.0
HQRX4ObdD88,36.0
