video_id,trending_status,video_duration_minutes,log_prior_trending_count,publish_day,publish_hour,log_video_duration_minutes,title_length,title_sentiment_compound,title_has_emoji,tags_count,title_tag_ratio,log_description_length,desc_links_count,desc_hashtags_count,desc_sentiment,desc_richness
yqcPJhEpGx0,Non-Trending,0.7166666666666667,1.3862943611198906,Thursday,4,0.5403844260075351,44,-0.25,0,1,0.0,3.5263605246161616,0.0,0.0,0.0,0.0
yqhK5yqNorE,Trending,10.4,5.648974238161206,Wednesday,2,2.4336133554004498,57,0.0,0,36,0.0,6.587550014824796,7.0,17.0,0.5338,0.03310344827586207
yr2sbLXacos,Non-Trending,0.9166666666666666,2.1972245773362196,Wednesday,12,0.6505875661411493,82,0.0,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yr8Sa1rEpKE,Non-Trending,4.033333333333333,2.4849066497880004,Monday,9,1.6160824551527688,36,0.5994,1,1,0.0,7.527793987721444,0.0,0.0,0.9959,0.0
yrgt1QIae7U,Trending,0.5833333333333334,4.919980925828125,Monday,16,0.4595323293784402,65,0.0,0,18,0.1111111111111111,7.45876269238096,11.0,21.0,0.3397,0.01845444059976932
yrxUuTIdXB8,Trending,0.6333333333333333,5.983936280687191,Thursday,16,0.4906229164484712,71,0.0,0,18,0.1111111111111111,7.456454555176209,11.0,21.0,0.6014,0.018497109826589597
ys4Z-V7r7Gs,Non-Trending,14.85,2.5649493574615367,Friday,10,2.7631695003232895,66,-0.5719,1,3,0.0,6.428105272684596,1.0,1.0,0.9937,0.003236245954692557
ysHzv0bzY-4,Trending,10.483333333333333,3.58351893845611,Sunday,8,2.440896708791558,52,0.2732,0,10,0.0,6.925595197110468,5.0,5.0,0.7184,0.00983284169124877
ysLjUqgGP_Y,Trending,30.166666666666668,1.3862943611198906,Thursday,15,3.439349147626532,97,0.5106,0,23,0.16666666666666666,4.584967478670572,0.0,0.0,0.5106,0.0
ysVswEeqWaU,Trending,19.766666666666666,2.1972245773362196,Sunday,5,3.0333491371252976,67,0.4404,0,27,0.25,7.067319848653476,3.0,19.0,0.9755,0.01877133105802048
yseAKT2V_H8,Trending,31.416666666666668,4.394449154672439,Sunday,3,3.478672693830446,27,0.0,0,9,0.0,6.710523109452428,11.0,0.0,0.9037,0.013414634146341463
yswxzpqE4QE,Trending,38.11666666666667,4.795790545596741,Tuesday,16,3.666548633628923,97,0.5859,0,25,0.0,7.6676260915849905,1.0,4.0,0.9949,0.002339728591483388
ysxUOeeRc_A,Non-Trending,3.2333333333333334,1.0986122886681098,Saturday,10,1.442989704796436,91,0.5423,0,17,0.0,4.454347296253507,0.0,2.0,0.5423,0.023529411764705882
ytCZZhgmnLY,Trending,14.8,5.3230099791384085,Friday,2,2.760009940032921,88,0.0,0,22,0.125,7.232010331664759,5.0,15.0,0.5231,0.01447178002894356
ytIZLiKQJhU,Trending,12.05,2.302585092994046,Wednesday,7,2.5687881337687024,40,0.0,0,13,0.3333333333333333,6.444131256700441,4.0,3.0,-0.4574,0.011146496815286623
ytJtpIt59cE,Trending,21.883333333333333,4.48863636973214,Friday,17,3.13040884354587,31,0.0,1,17,0.0,5.575949103146316,4.0,3.0,0.6478,0.026615969581749048
ytMrLsZw9_w,Non-Trending,0.8666666666666667,1.791759469228055,Thursday,5,0.6241543090729939,85,0.0,1,34,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
ytZmLABSSLU,Trending,0.5666666666666667,5.056245805348308,Sunday,15,0.4489502200479032,43,-0.25,0,21,0.14285714285714285,7.172424577124845,4.0,8.0,0.9551,0.009216589861751152
yth4MBQvhNk,Non-Trending,11.15,2.1972245773362196,Sunday,5,2.4973291697865574,98,0.743,0,21,0.0,8.201111644442758,5.0,35.0,0.9967,0.010976948408342482
ytzWZRsJvmo,Non-Trending,3.9,3.4657359027997265,Thursday,3,1.589235205116581,95,0.0,0,21,0.0,7.158513997329321,12.0,13.0,0.6531,0.019470404984423675
yuB2rwUaQok,Non-Trending,67.36666666666666,2.0794415416798357,Sunday,23,4.224885376410225,89,0.0,0,4,0.0,7.462789157412448,2.0,0.0,0.0,0.0011487650775416428
yuREBNmE0Bc,Non-Trending,0.7166666666666667,0.6931471805599453,Saturday,20,0.5403844260075351,91,0.0,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yuTozJpN9cE,Non-Trending,3.1333333333333333,3.1354942159291497,Friday,16,1.4190841839428814,38,0.0,0,19,0.0,7.379008127628304,1.0,4.0,0.5483,0.003123048094940662
yuYNa_gGBl4,Non-Trending,0.3,0.6931471805599453,Monday,14,0.26236426446749106,82,0.0,1,29,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yuZSVRukbs4,Non-Trending,0.8833333333333333,2.302585092994046,Friday,5,0.6330432564902398,100,0.0,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yuvSAKM3FSU,Trending,41.05,5.41610040220442,Tuesday,15,3.738859386418957,57,0.0,0,20,0.1,7.19668657083435,5.0,8.0,0.967,0.009745127436281859
yvLBQIbafCY,Non-Trending,15.75,2.302585092994046,Wednesday,14,2.8183982582710754,40,0.0,0,18,0.0,6.580639137284949,1.0,3.0,0.7488,0.005555555555555556
yvLVQeRFMZo,Non-Trending,4.45,1.9459101490553132,Monday,7,1.6956156086751528,96,0.0772,0,22,0.0,7.913155185928068,19.0,0.0,0.8402,0.006954612005856516
yvPSlDh81vg,Non-Trending,0.8666666666666667,1.3862943611198906,Wednesday,5,0.6241543090729939,67,0.8316,1,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yvty15g5Wco,Non-Trending,0.7666666666666667,0.6931471805599453,Thursday,14,0.5690945318899665,93,0.6597,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yvxUtQZxXHk,Trending,0.8166666666666667,2.772588722239781,Wednesday,10,0.597003320007043,100,0.0,0,21,0.16666666666666666,7.764720544771477,13.0,13.0,0.9272,0.011040339702760084
yw1-pHCab9c,Trending,0.7,6.236369590203704,Monday,4,0.5306282510621704,71,0.0,0,18,0.1111111111111111,7.458186157340487,11.0,21.0,0.3397,0.018465089440276975
yw2KpaxfsxA,Trending,,0.6931471805599453,Wednesday,7,,74,-0.34,0,18,0.0,5.176149732573829,2.0,3.0,0.0,0.028409090909090908
ywPic-ajMrM,Non-Trending,0.5666666666666667,2.1972245773362196,Saturday,7,0.4489502200479032,68,0.0,0,15,0.0,5.986452005284438,7.0,3.0,0.0,0.02518891687657431
ywjtqGhSuI0,Non-Trending,23.833333333333332,2.70805020110221,Friday,14,3.2121868367174042,58,0.0,0,17,0.0,7.311218384419629,23.0,6.0,0.6597,0.019385026737967916
ywnpq4H-fP4,Non-Trending,19.083333333333332,2.302585092994046,Saturday,9,2.9998902837026544,61,0.802,1,68,0.0,7.322510433997394,9.0,53.0,0.9949,0.040978189028420355
yxfsMnZOUwM,Trending,20.5,4.709530201312334,Monday,9,3.068052935133617,62,0.0,0,25,0.09090909090909091,7.6624678152002375,11.0,21.0,0.9893,0.015051740357478834
yxg-y7oQKZU,Non-Trending,3.4166666666666665,3.5553480614894135,Thursday,11,1.4853852637641214,87,0.0,0,18,0.0,6.634633357861686,4.0,6.0,0.1531,0.013157894736842105
yxtp-d0AwzM,Trending,29.966666666666665,1.6094379124341003,Sunday,7,3.432911357151683,86,0.0,0,20,0.125,6.747586526829315,3.0,0.0,0.6229,0.0035252643948296123
yy40churzWU,Trending,22.35,2.3978952727983707,Sunday,14,3.150596984114906,76,0.0,0,20,0.0,6.893656354602635,0.0,4.0,-0.1739,0.0040609137055837565
yyXQJlLueuo,Non-Trending,5.25,2.1972245773362196,Thursday,12,1.8325814637483102,93,0.0,0,21,0.0,6.911747300251674,3.0,8.0,-0.4372,0.010967098703888335
yyaoFLfaxbo,Non-Trending,4.283333333333333,2.772588722239781,Thursday,7,1.66455721165518,78,0.0,0,4,0.0,7.172424577124845,6.0,9.0,0.8953,0.01152073732718894
yyeyq8I1rKM,Trending,9.1,2.772588722239781,Friday,8,2.312535423847214,33,-0.7184,1,7,0.25,5.700443573390687,5.0,0.0,0.6553,0.016778523489932886
yynK1JIVvB8,Trending,22.65,1.0986122886681098,Wednesday,13,3.1633631149379418,34,0.0,0,34,0.2,5.641907070938114,1.0,3.0,0.0,0.014234875444839857
yyzr6tKtAco,Trending,4.0,1.9459101490553132,Thursday,6,1.6094379124341003,100,0.0,0,25,0.0,7.7886260656250315,14.0,3.0,0.9389,0.007048092868988391
yz6E-GyAqYI,Non-Trending,17.516666666666666,0.6931471805599453,Sunday,5,2.918671227417529,76,-0.34,1,25,0.0,7.113142108707088,2.0,34.0,0.3947,0.029339853300733496
yzIpymu3yI4,Trending,,1.791759469228055,Thursday,14,,46,0.0,0,13,0.0,6.284134161070802,1.0,3.0,0.5187,0.007476635514018692
yzLaC9qoeyQ,Non-Trending,0.48333333333333334,0.6931471805599453,Wednesday,9,0.39429180751003917,35,0.0,0,69,0.0,5.752572638825633,5.0,6.0,0.0,0.03503184713375796
yzSa_R8Tyeo,Non-Trending,0.6833333333333333,1.9459101490553132,Friday,15,0.5207759546191588,78,-0.3595,1,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yzYaAFIaR6Y,Non-Trending,1.0,1.0986122886681098,Saturday,14,0.6931471805599453,93,0.6369,0,26,0.0,7.001245622069476,8.0,13.0,0.9258,0.019143117593436645
yzbl-K5Xm_c,Non-Trending,14.466666666666667,2.70805020110221,Saturday,5,2.7386871705641,41,0.0,0,4,0.0,6.4425401664681985,5.0,0.0,0.3442,0.007974481658692184
yzkU-dLh-Ro,Non-Trending,0.9,1.0986122886681098,Thursday,5,0.6418538861723948,89,0.0,0,22,0.0,6.856461984594587,4.0,28.0,0.0772,0.03371970495258166
